Experiment_Type,Model,RMSE,MAE,R2,Notes
Re-evaluated DL,Improved LSTM,14.546558,10.817222,0.868232,Optimised LSTM architecture with stabilised training (window size 30)
Tuned ML,Random Forest Tuned,16.786686,11.999384,0.824523,RandomizedSearchCV tuned Random Forest
Re-evaluated DL,Improved CNN,16.984624,13.067327,0.820360,CNN with window size 30
Tuned ML,XGBoost Tuned,17.038417,11.960906,0.819221,RandomizedSearchCV tuned XGBoost
Baseline ML,Random Forest Baseline,17.155461,12.018305,0.816728,Initial Random Forest model
Baseline ML,XGBoost Baseline,17.416111,12.338665,0.811117,Initial XGBoost model
Baseline ML,Linear Regression,20.600497,16.372325,0.735731,Simple interpretable Linear Regression baseline model
Re-evaluated DL,Improved CNN-LSTM,31.562601,26.822668,0.379651,CNN-LSTM with window size 30
