event,attribution,absolute_attribution
Event -1,-3.0409315322718427,3.0409315322718427
Event -2,-9.342018948854665,9.342018948854665
Event -3,-10.667511909831326,10.667511909831326
Event -4,-12.285154487948882,12.285154487948882
Event -5,-16.735628025352533,16.735628025352533
Event -6,-13.376892712066242,13.376892712066242
Event -7,-12.859156294699865,12.859156294699865
Event -8,-10.258246130853559,10.258246130853559
Event -9,-12.235057242637318,12.235057242637318
Event -10,-8.83609569851563,8.83609569851563
Event -11,-11.466896802045742,11.466896802045742
Event -12,-9.488008953436555,9.488008953436555
Event -13,-3.6373121389548224,3.6373121389548224
Event -14,-3.5422538278057285,3.5422538278057285
Event -15,-1.645846421626275,1.645846421626275
Event -16,-1.4291566055759783,1.4291566055759783
Event -17,1.5784070781922894,1.5784070781922894
Event -18,2.1760722315320042,2.1760722315320042
Event -19,2.3689339000229874,2.3689339000229874
Event -20,2.302569022395811,2.302569022395811
Event -21,3.355907675249233,3.355907675249233
Event -22,5.20239707402624,5.20239707402624
Event -23,2.049905464956642,2.049905464956642
Event -24,4.802193087661134,4.802193087661134
Event -25,3.127293595056131,3.127293595056131
Event -26,4.0234399385602755,4.0234399385602755
Event -27,3.4242885732884747,3.4242885732884747
Event -28,-1.2307495649883777,1.2307495649883777
Event -29,2.246242404573732,2.246242404573732
Event -30,3.3742900638400073,3.3742900638400073
